ID,state
0,Survival -- CCL2 -- OAS2 -- ADGRB1
1,Survival -- CCL2 -- OAS2 -- ADGRB1
2,Survival -- CCL2 -- OAS2 -- ADGRB1
3,Survival -- CCL2 -- OAS2 -- ADGRB1
4,Survival -- CCL2 -- OAS2 -- ADGRB1
5,Survival -- CCL2 -- OAS2 -- ADGRB1
6,Survival -- CCL2 -- OAS2 -- ADGRB1
7,Survival -- CCL2 -- OAS2 -- ADGRB1
8,Survival -- CCL2 -- OAS2 -- ADGRB1
9,Survival -- TNF -- CCL2 -- OAS2
10,Survival -- CCL2 -- OAS2 -- ADGRB1
11,Survival -- CCL2 -- OAS2 -- ADGRB1
12,Survival -- CCL2 -- OAS2 -- ADGRB1
13,Survival -- CCL2 -- OAS2 -- ADGRB1
14,Survival -- CCL2 -- OAS2 -- ADGRB1
15,Survival -- CCL2 -- OAS2 -- ADGRB1
16,Survival -- CCL2 -- OAS2 -- ADGRB1
17,Survival -- CCL2 -- OAS2 -- ADGRB1
18,Survival -- CCL2 -- OAS2 -- ADGRB1
19,Survival -- CCL2 -- OAS2 -- ADGRB1
20,Survival -- CCL2 -- OAS2 -- ADGRB1
21,Survival -- CCL2 -- OAS2 -- ADGRB1
22,Survival -- TNF -- CCL2 -- OAS2
23,Survival -- TNF -- CCL2 -- OAS2
24,Survival -- CCL2 -- OAS2 -- ADGRB1
25,Survival -- CCL2 -- OAS2 -- ADGRB1
26,Survival -- CCL2 -- OAS2 -- ADGRB1
27,Survival -- CCL2 -- OAS2 -- ADGRB1
28,Survival -- CCL2 -- OAS2 -- ADGRB1
29,Survival -- CCL2 -- OAS2 -- ADGRB1
30,Survival -- CCL2 -- OAS2 -- ADGRB1
31,Survival -- CCL2 -- OAS2 -- ADGRB1
32,Survival -- CCL2 -- OAS2 -- ADGRB1
33,Survival -- CCL2 -- OAS2 -- ADGRB1
34,Survival -- CCL2 -- OAS2 -- ADGRB1
35,Survival -- CCL2 -- OAS2 -- ADGRB1
36,Survival -- CCL2 -- OAS2 -- ADGRB1
37,Survival -- CCL2 -- OAS2 -- ADGRB1
38,Survival -- CCL2 -- OAS2 -- ADGRB1
39,Survival -- CCL2 -- OAS2 -- ADGRB1
40,Survival -- CCL2 -- OAS2 -- ADGRB1
41,Survival -- CCL2 -- OAS2 -- ADGRB1
42,Survival -- CCL2 -- OAS2 -- ADGRB1
43,Survival -- CCL2 -- OAS2 -- ADGRB1
44,Survival -- CCL2 -- OAS2 -- ADGRB1
45,Survival -- CCL2 -- OAS2 -- ADGRB1
46,Survival -- CCL2 -- OAS2 -- ADGRB1
47,Survival -- CCL2 -- OAS2 -- ADGRB1
48,Survival -- CCL2 -- OAS2 -- ADGRB1
49,Survival -- CCL2 -- OAS2 -- ADGRB1
50,Survival -- CCL2 -- OAS2 -- ADGRB1
51,Survival -- CCL2 -- OAS2 -- ADGRB1
52,Survival -- CCL2 -- OAS2 -- ADGRB1
53,Survival -- CCL2 -- OAS2 -- ADGRB1
54,Survival -- CCL2 -- OAS2 -- ADGRB1
55,Survival -- CCL2 -- OAS2 -- ADGRB1
56,Survival -- CCL2 -- OAS2 -- ADGRB1
57,Survival -- CCL2 -- OAS2 -- ADGRB1
59,Survival -- CCL2 -- OAS2 -- ADGRB1
60,Survival -- CCL2 -- OAS2 -- ADGRB1
61,Survival -- CCL2 -- OAS2 -- ADGRB1
62,Survival -- CCL2 -- OAS2 -- ADGRB1
63,Survival -- TNF -- CCL2 -- OAS2
64,Survival -- CCL2 -- OAS2 -- ADGRB1
65,Survival -- CCL2 -- OAS2 -- ADGRB1
66,Survival -- CCL2 -- OAS2 -- ADGRB1
67,Survival -- CCL2 -- OAS2 -- ADGRB1
68,Survival -- CCL2 -- OAS2 -- ADGRB1
69,Survival -- CCL2 -- OAS2 -- ADGRB1
70,Survival -- CCL2 -- OAS2 -- ADGRB1
71,Survival -- CCL2 -- OAS2 -- ADGRB1
72,Survival -- CCL2 -- OAS2 -- ADGRB1
73,Survival -- CCL2 -- OAS2 -- ADGRB1
74,Survival -- CCL2 -- OAS2 -- ADGRB1
75,Survival -- CCL2 -- OAS2 -- ADGRB1
76,Survival -- CCL2 -- OAS2 -- ADGRB1
77,Survival -- CCL2 -- OAS2 -- ADGRB1
78,Survival -- CCL2 -- OAS2 -- ADGRB1
79,Survival -- CCL2 -- OAS2 -- ADGRB1
80,Survival -- CCL2 -- OAS2 -- ADGRB1
81,Survival -- CCL2 -- OAS2 -- ADGRB1
82,Survival -- CCL2 -- OAS2 -- ADGRB1
83,Survival -- CCL2 -- OAS2 -- ADGRB1
84,Survival -- CCL2 -- OAS2 -- ADGRB1
85,Survival -- CCL2 -- OAS2 -- ADGRB1
